date,event_type,description
2008-09-10,meeting,OPEC meeting - maintain production
2008-10-24,cut,OPEC announces 1.5M b/d cut
2008-12-17,cut,OPEC announces 2.2M b/d cut
2009-03-15,maintain,OPEC maintains production
2009-05-28,maintain,OPEC maintains production
2009-09-09,maintain,OPEC maintains production
2009-12-22,maintain,OPEC maintains production
2010-03-17,maintain,OPEC maintains production
2010-10-14,maintain,OPEC maintains production
2010-12-11,maintain,OPEC maintains production
2011-06-08,no_agreement,OPEC fails to reach agreement
2011-12-14,maintain,OPEC maintains production
2012-06-14,maintain,OPEC maintains production
2012-12-12,maintain,OPEC maintains production
2013-05-31,maintain,OPEC maintains production
2013-12-04,maintain,OPEC maintains production
2014-06-11,maintain,OPEC maintains production
2014-11-27,maintain,OPEC maintains production
2015-06-05,maintain,OPEC maintains production
2015-12-04,maintain,OPEC maintains production
2016-06-02,maintain,OPEC maintains production
2016-11-30,cut,OPEC agrees to cut production by 1.2M b/d
2017-05-25,extend,OPEC extends cuts for 9 months
2017-11-30,extend,OPEC extends cuts until end of 2018
2018-06-22,increase,OPEC agrees to increase production
2018-12-07,cut,OPEC agrees to cut production by 1.2M b/d
2019-07-01,extend,OPEC extends cuts for 9 months
2019-12-06,cut,OPEC agrees to cut production by 500K b/d
2020-03-06,no_agreement,OPEC+ fails to reach agreement
2020-04-12,cut,OPEC+ agrees to cut production by 9.7M b/d
2020-06-06,extend,OPEC+ extends cuts for 1 month
2020-12-03,increase,OPEC+ agrees to increase production
2021-01-04,maintain,OPEC+ maintains production
2021-03-04,maintain,OPEC+ maintains production
2021-04-01,increase,OPEC+ agrees to increase production
2021-07-01,increase,OPEC+ agrees to increase production
2021-09-01,maintain,OPEC+ maintains production
2021-10-04,increase,OPEC+ agrees to increase production
2021-12-02,maintain,OPEC+ maintains production
2022-01-04,increase,OPEC+ agrees to increase production
2022-02-02,maintain,OPEC+ maintains production
2022-03-02,increase,OPEC+ agrees to increase production
2022-04-01,maintain,OPEC+ maintains production
2022-05-05,increase,OPEC+ agrees to increase production
2022-06-02,increase,OPEC+ agrees to increase production
2022-07-01,maintain,OPEC+ maintains production
2022-08-03,increase,OPEC+ agrees to increase production
2022-09-05,cut,OPEC+ agrees to cut production by 100K b/d
2022-10-05,cut,OPEC+ agrees to cut production by 2M b/d
2022-11-01,maintain,OPEC+ maintains production
2022-12-04,maintain,OPEC+ maintains production
2023-01-04,maintain,OPEC+ maintains production
2023-02-01,maintain,OPEC+ maintains production
2023-03-01,maintain,OPEC+ maintains production
2023-04-03,cut,OPEC+ announces surprise cut of 1.16M b/d
2023-06-04,cut,OPEC+ agrees to extend cuts
2023-07-01,maintain,OPEC+ maintains production
2023-08-01,maintain,OPEC+ maintains production
2023-09-05,extend,OPEC+ extends cuts until end of 2023
2023-10-04,maintain,OPEC+ maintains production
2023-11-30,cut,OPEC+ agrees to cut production by 2.2M b/d
2023-12-01,maintain,OPEC+ maintains production
2024-01-01,maintain,OPEC+ maintains production
2024-02-01,maintain,OPEC+ maintains production
2024-03-03,extend,OPEC+ extends cuts until end of Q2 2024
